x,y,ph,moisture,nitrogen,cec
-7403250.0,-4935499.999999999,78.0,335.0,168.0,223.0
6629750.0,6219500.000000001,59.0,607.0,456.0,331.0
-7559250.0,-4884499.999999999,71.0,399.0,310.0,246.0
-6669250.0,-2890499.999999999,59.0,344.0,224.0,223.0
14039750.0,-2790499.999999999,77.0,373.0,32.0,320.0
15678750.0,-2096499.999999999,75.0,335.0,57.0,202.0
7616750.0,5881500.000000001,54.0,489.0,695.0,304.0
4144750.0,-1901499.999999999,60.0,326.0,141.0,153.0
3916750.0,2479500.000000001,81.0,290.0,122.0,154.0
-900250.0,1695500.000000001,68.0,323.0,55.0,101.0
14890750.0,-1462499.999999999,62.0,314.0,86.0,119.0
6773750.0,6673500.000000001,52.0,631.0,1010.0,504.0
-7063250.0,-1762499.999999999,55.0,347.0,267.0,117.0
9136750.0,5933500.000000001,62.0,498.0,1254.0,397.0
8992750.0,2973500.000000001,61.0,355.0,181.0,176.0
8345750.0,4253500.000000001,78.0,328.0,235.0,196.0
-8457250.0,4987500.000000001,48.0,377.0,825.0,320.0
16163750.0,-3800499.999999999,60.0,384.0,203.0,194.0
13379750.0,-584499.9999999991,52.0,412.0,355.0,190.0
4646750.0,54500.00000000093,74.0,353.0,135.0,247.0
-7561250.0,-3179499.999999999,77.0,342.0,146.0,199.0
3545750.0,-2639499.999999999,67.0,319.0,134.0,217.0
7522750.0,2372500.000000001,72.0,388.0,154.0,262.0
6899750.0,5856500.000000001,69.0,488.0,535.0,257.0
9333750.0,4281500.000000001,75.0,360.0,385.0,233.0
-12102250.0,6995500.000000001,61.0,608.0,370.0,603.0
-10783250.0,3868500.000000001,60.0,296.0,750.0,127.0
-1244250.0,960500.0000000009,54.0,348.0,387.0,181.0
-12312250.0,5578500.000000001,65.0,398.0,399.0,235.0
1275750.0,3414500.000000001,82.0,299.0,48.0,153.0
-12576250.0,3380500.000000001,75.0,301.0,68.0,177.0
15331750.0,-2971499.999999999,78.0,301.0,34.0,216.0
237750.0,1094500.000000001,61.0,298.0,116.0,86.0
13810750.0,-3053499.999999999,68.0,342.0,45.0,208.0
11097750.0,7298500.000000001,59.0,572.0,711.0,477.0
10832750.0,500500.00000000093,53.0,428.0,355.0,170.0
5931750.0,3055500.000000001,73.0,320.0,296.0,210.0
-487250.0,1819500.000000001,77.0,271.0,58.0,105.0
-4860250.0,-563499.9999999991,56.0,380.0,281.0,136.0
-8042250.0,350500.00000000093,51.0,370.0,248.0,136.0
2469750.0,1304500.000000001,66.0,337.0,117.0,170.0
12264750.0,3067500.000000001,60.0,392.0,348.0,222.0
1627750.0,-2217499.999999999,86.0,319.0,110.0,140.0
3748750.0,-1219499.999999999,59.0,348.0,132.0,98.0
-7679250.0,-330499.99999999907,44.0,336.0,523.0,235.0
2351750.0,-341499.99999999907,45.0,356.0,272.0,120.0
8519750.0,5219500.000000001,77.0,353.0,391.0,168.0
10749750.0,6550500.000000001,52.0,565.0,952.0,365.0
-7479250.0,-544499.9999999991,41.0,393.0,338.0,188.0
2422750.0,2383500.000000001,81.0,305.0,100.0,182.0
-14250.0,3511500.000000001,81.0,270.0,61.0,123.0
2834750.0,-1074499.999999999,54.0,326.0,154.0,83.0
3077750.0,4651500.000000001,70.0,397.0,319.0,270.0
-6877250.0,-286499.99999999907,44.0,365.0,283.0,144.0
-4838250.0,-725499.9999999991,52.0,333.0,187.0,103.0
4211750.0,-1789499.999999999,61.0,307.0,120.0,99.0
4064750.0,-1827499.999999999,62.0,355.0,192.0,155.0
-12459250.0,7146500.000000001,58.0,584.0,320.0,671.0
4552750.0,6829500.000000001,50.0,626.0,1121.0,696.0
15807750.0,-3271499.999999999,75.0,342.0,48.0,213.0
8956750.0,3331500.000000001,71.0,358.0,304.0,192.0
5785750.0,4733500.000000001,75.0,355.0,203.0,170.0
8561750.0,3450500.000000001,79.0,345.0,249.0,269.0
13222750.0,-3343499.999999999,58.0,376.0,107.0,213.0
-8932250.0,4984500.000000001,49.0,411.0,986.0,367.0
10398750.0,4776500.000000001,82.0,358.0,300.0,205.0
-6837250.0,307500.00000000093,48.0,378.0,200.0,141.0
11071750.0,5030500.000000001,73.0,431.0,409.0,270.0
5546750.0,7007500.000000001,49.0,660.0,1081.0,518.0
-6627250.0,-2662499.999999999,65.0,349.0,190.0,252.0
6891750.0,3892500.000000001,73.0,352.0,336.0,247.0
2962750.0,1541500.000000001,77.0,310.0,61.0,128.0
13597750.0,877500.0000000009,51.0,423.0,333.0,189.0
1646750.0,-2339499.999999999,86.0,278.0,92.0,115.0
11409750.0,6779500.000000001,55.0,626.0,625.0,435.0
1548750.0,646500.0000000009,54.0,331.0,248.0,112.0
769750.0,1334500.000000001,64.0,311.0,86.0,68.0
5082750.0,3556500.000000001,76.0,346.0,237.0,336.0
-11413250.0,5489500.000000001,69.0,428.0,380.0,291.0
9005750.0,3236500.000000001,73.0,364.0,303.0,268.0
6605750.0,7345500.000000001,52.0,508.0,1031.0,434.0
-6615250.0,-5729499.999999999,66.0,448.0,612.0,337.0
8577750.0,4202500.000000001,76.0,342.0,305.0,210.0
-13940250.0,6727500.000000001,61.0,477.0,679.0,427.0
13485750.0,1094500.000000001,58.0,379.0,419.0,184.0
-1181250.0,1220500.000000001,56.0,387.0,231.0,147.0
1935750.0,3551500.000000001,77.0,336.0,208.0,204.0
-13054250.0,4182500.000000001,68.0,360.0,309.0,234.0
3982750.0,2363500.000000001,82.0,296.0,82.0,159.0
-17250.0,3580500.000000001,77.0,326.0,176.0,172.0
2656750.0,-504499.99999999907,50.0,316.0,232.0,110.0
-11356250.0,3997500.000000001,74.0,342.0,183.0,173.0
6903750.0,3502500.000000001,78.0,328.0,162.0,236.0
711750.0,1816500.000000001,75.0,299.0,50.0,104.0
10865750.0,4986500.000000001,87.0,395.0,587.0,269.0
2992750.0,7108500.000000001,45.0,630.0,1051.0,490.0
5753750.0,7029500.000000001,49.0,690.0,1196.0,486.0
-9468250.0,3506500.000000001,48.0,280.0,663.0,108.0
-13488250.0,6180500.000000001,43.0,450.0,629.0,489.0
-9009250.0,4888500.000000001,43.0,410.0,1183.0,496.0
4535750.0,5528500.000000001,71.0,514.0,498.0,327.0
-10931250.0,4196500.000000001,61.0,343.0,233.0,172.0
-4762250.0,-2424499.999999999,59.0,370.0,287.0,255.0
-386250.0,2791500.000000001,82.0,308.0,106.0,259.0
-1341250.0,2091500.000000001,80.0,289.0,30.0,113.0
-11491250.0,6454500.000000001,64.0,610.0,310.0,358.0
852750.0,2270500.000000001,81.0,279.0,132.0,259.0
-174250.0,673500.0000000009,57.0,367.0,387.0,271.0
-6748250.0,-1550499.999999999,54.0,376.0,267.0,94.0
-6718250.0,-3097499.999999999,66.0,346.0,199.0,259.0
-9985250.0,4172500.000000001,61.0,416.0,349.0,225.0
7835750.0,7689500.000000001,62.0,583.0,1086.0,306.0
-695250.0,1583500.000000001,63.0,275.0,69.0,92.0
-7613250.0,790500.0000000009,54.0,369.0,231.0,118.0
-8010250.0,404500.00000000093,53.0,355.0,327.0,183.0
7462750.0,3236500.000000001,78.0,312.0,73.0,187.0
5162750.0,3583500.000000001,76.0,345.0,235.0,330.0
10648750.0,4460500.000000001,71.0,371.0,440.0,182.0
2588750.0,5767500.000000001,58.0,527.0,637.0,261.0
15306750.0,-2127499.999999999,76.0,375.0,48.0,287.0
9873750.0,5482500.000000001,75.0,381.0,365.0,278.0
-12080250.0,4217500.000000001,78.0,298.0,123.0,119.0
16420750.0,-3954499.999999999,57.0,381.0,283.0,204.0
-12705250.0,6235500.000000001,53.0,589.0,547.0,275.0
279750.0,1478500.000000001,54.0,278.0,49.0,37.0
9061750.0,5274500.000000001,74.0,376.0,353.0,215.0
12500750.0,208500.00000000093,47.0,424.0,536.0,184.0
-1052250.0,2610500.000000001,81.0,300.0,52.0,142.0
-6199250.0,-544499.9999999991,42.0,411.0,296.0,158.0
3234750.0,719500.0000000009,62.0,298.0,158.0,108.0
2214750.0,102500.00000000093,47.0,335.0,225.0,90.0
4280750.0,4154500.000000001,72.0,327.0,335.0,290.0
3045750.0,-1324499.999999999,57.0,341.0,134.0,82.0
11156750.0,2959500.000000001,55.0,422.0,485.0,207.0
6255750.0,6627500.000000001,53.0,641.0,899.0,506.0
5620750.0,6755500.000000001,48.0,625.0,904.0,597.0
10305750.0,2738500.000000001,56.0,384.0,497.0,206.0
1232750.0,1593500.000000001,74.0,325.0,57.0,115.0
-14197250.0,7297500.000000001,60.0,447.0,1112.0,627.0
1267750.0,4036500.000000001,69.0,358.0,271.0,237.0
-7460250.0,-2426499.999999999,80.0,324.0,201.0,159.0
7036750.0,3018500.000000001,82.0,313.0,48.0,197.0
-5258250.0,-298499.99999999907,50.0,394.0,216.0,95.0
16059750.0,-554499.9999999991,56.0,448.0,623.0,267.0
6801750.0,6532500.000000001,54.0,600.0,827.0,415.0
3277750.0,1372500.000000001,65.0,315.0,92.0,77.0
5229750.0,6141500.000000001,55.0,613.0,782.0,382.0
-7068250.0,-151499.99999999907,40.0,382.0,222.0,180.0
2425750.0,5528500.000000001,66.0,458.0,655.0,292.0
2661750.0,5536500.000000001,60.0,527.0,945.0,254.0
-12116250.0,6366500.000000001,63.0,542.0,266.0,265.0
-7372250.0,-5870499.999999999,61.0,445.0,699.0,323.0
1298750.0,4870500.000000001,74.0,404.0,468.0,230.0
15332750.0,-3508499.999999999,80.0,331.0,56.0,188.0
4174750.0,6756500.000000001,48.0,623.0,943.0,565.0
-7971250.0,-1401499.999999999,52.0,404.0,495.0,194.0
4649750.0,5800500.000000001,68.0,578.0,655.0,292.0
10081750.0,2409500.000000001,69.0,369.0,181.0,177.0
11679750.0,3540500.000000001,65.0,320.0,303.0,170.0
3008750.0,5462500.000000001,64.0,362.0,921.0,269.0
9147750.0,4133500.000000001,83.0,311.0,91.0,195.0
3211750.0,6224500.000000001,54.0,559.0,1004.0,388.0
16019750.0,-2174499.999999999,65.0,261.0,88.0,158.0
-4765250.0,-1694499.999999999,59.0,369.0,189.0,148.0
-7286250.0,-4542499.999999999,78.0,351.0,54.0,198.0
10386750.0,6170500.000000001,57.0,622.0,1062.0,383.0
3162750.0,-823499.9999999991,55.0,319.0,160.0,123.0
10458750.0,4342500.000000001,80.0,357.0,188.0,209.0
1426750.0,2793500.000000001,83.0,306.0,79.0,131.0
3812750.0,2572500.000000001,81.0,291.0,65.0,176.0
6663750.0,2952500.000000001,81.0,282.0,54.0,152.0
8275750.0,6156500.000000001,59.0,611.0,749.0,340.0
-13106250.0,7240500.000000001,53.0,587.0,763.0,429.0
8758750.0,2987500.000000001,69.0,364.0,141.0,142.0
-8085250.0,5715500.000000001,46.0,548.0,687.0,397.0
14814750.0,-1688499.999999999,65.0,297.0,62.0,155.0
-7065250.0,1034500.0000000009,60.0,362.0,191.0,167.0
-10228250.0,5132500.000000001,49.0,401.0,619.0,267.0
-8792250.0,4641500.000000001,46.0,389.0,1614.0,471.0
15185750.0,-3059499.999999999,72.0,312.0,30.0,212.0
7912750.0,5989500.000000001,52.0,573.0,1018.0,412.0
2372750.0,-1665499.999999999,58.0,293.0,104.0,97.0
15951750.0,-2750499.999999999,62.0,314.0,57.0,192.0
13942750.0,-2019499.999999999,72.0,330.0,64.0,236.0
3346750.0,-1470499.999999999,60.0,330.0,98.0,68.0
-8810250.0,4829500.000000001,47.0,402.0,1151.0,426.0
9267750.0,4484500.000000001,83.0,347.0,146.0,221.0
9438750.0,4339500.000000001,84.0,344.0,152.0,156.0
-8299250.0,-405499.99999999907,47.0,336.0,621.0,285.0
-12567250.0,6735500.000000001,63.0,601.0,411.0,343.0
12499750.0,-305499.99999999907,52.0,406.0,325.0,218.0
5755750.0,1870500.000000001,80.0,313.0,175.0,249.0
8413750.0,4760500.000000001,80.0,330.0,197.0,202.0
10770750.0,1577500.000000001,55.0,398.0,316.0,199.0
2630750.0,7155500.000000001,49.0,552.0,970.0,420.0
16219750.0,-3951499.999999999,56.0,397.0,230.0,137.0
5788750.0,3061500.000000001,79.0,329.0,181.0,236.0
-218250.0,2385500.000000001,80.0,258.0,129.0,207.0
-10380250.0,3603500.000000001,57.0,413.0,348.0,256.0
1707750.0,5647500.000000001,42.0,475.0,639.0,326.0
-293250.0,2772500.000000001,83.0,299.0,97.0,255.0
3336750.0,3416500.000000001,79.0,335.0,133.0,143.0
7381750.0,4117500.000000001,76.0,387.0,463.0,268.0
6008750.0,3178500.000000001,78.0,316.0,97.0,200.0
14679750.0,-1623499.999999999,66.0,334.0,53.0,129.0
3054750.0,6601500.000000001,47.0,616.0,1152.0,539.0
14552750.0,-2093499.999999999,73.0,369.0,55.0,194.0
-7131250.0,-553499.9999999991,40.0,376.0,274.0,165.0
2736750.0,-3220499.999999999,76.0,346.0,93.0,230.0
4027750.0,6281500.000000001,53.0,541.0,1070.0,391.0
-6591250.0,-2163499.999999999,58.0,348.0,185.0,154.0
-10028250.0,3836500.000000001,53.0,366.0,267.0,157.0
12378750.0,-116499.99999999907,47.0,421.0,373.0,186.0
6758750.0,7592500.000000001,62.0,611.0,1176.0,640.0
-1102250.0,2870500.000000001,81.0,291.0,193.0,176.0
-398250.0,3128500.000000001,81.0,306.0,56.0,147.0
16045750.0,-3124499.999999999,66.0,365.0,58.0,275.0
2998750.0,2563500.000000001,82.0,297.0,102.0,170.0
-12863250.0,6879500.000000001,53.0,623.0,782.0,539.0
4276750.0,717500.0000000009,60.0,421.0,506.0,291.0
757750.0,584500.0000000009,53.0,308.0,262.0,94.0
2545750.0,-1142499.999999999,54.0,365.0,119.0,80.0
-6499250.0,-3022499.999999999,59.0,383.0,190.0,211.0
7807750.0,3813500.000000001,76.0,354.0,264.0,238.0
1600750.0,1748500.000000001,83.0,284.0,99.0,124.0
-9982250.0,7417500.000000001,64.0,576.0,540.0,532.0
-11322250.0,2210500.000000001,61.0,386.0,360.0,301.0
3228750.0,6162500.000000001,51.0,573.0,1254.0,372.0
8311750.0,7052500.000000001,58.0,665.0,841.0,491.0
10857750.0,2325500.000000001,52.0,384.0,501.0,228.0
10468750.0,4766500.000000001,81.0,365.0,319.0,217.0
5607750.0,3869500.000000001,72.0,312.0,108.0,165.0
-12212250.0,6805500.000000001,64.0,628.0,481.0,725.0
-8752250.0,2374500.000000001,69.0,434.0,951.0,419.0
16192750.0,-3408499.999999999,73.0,389.0,87.0,237.0
-6414250.0,-2732499.999999999,59.0,355.0,217.0,216.0
-14827250.0,6973500.000000001,50.0,477.0,1427.0,677.0
-12803250.0,4137500.000000001,53.0,368.0,525.0,171.0
-8354250.0,5174500.000000001,47.0,307.0,284.0,262.0
2080750.0,-3111499.999999999,92.0,307.0,50.0,163.0
-9943250.0,4327500.000000001,55.0,418.0,550.0,183.0
1824750.0,992500.0000000009,62.0,371.0,178.0,141.0
-11200250.0,5819500.000000001,67.0,403.0,264.0,252.0
2734750.0,-3011499.999999999,72.0,327.0,94.0,207.0
14543750.0,-2488499.999999999,74.0,373.0,36.0,286.0
-7736250.0,-3629499.999999999,67.0,329.0,384.0,196.0
-5541250.0,-1920499.999999999,55.0,369.0,182.0,118.0
2419750.0,2885500.000000001,81.0,290.0,111.0,167.0
-7829250.0,1176500.000000001,69.0,382.0,257.0,219.0
-8369250.0,319500.00000000093,57.0,433.0,333.0,201.0
1655750.0,368500.00000000093,61.0,369.0,297.0,127.0
1324750.0,2224500.000000001,82.0,293.0,104.0,297.0
14948750.0,-1539499.999999999,62.0,305.0,75.0,146.0
-7586250.0,-4628499.999999999,68.0,370.0,324.0,257.0
10678750.0,4731500.000000001,78.0,387.0,304.0,202.0
3624750.0,2419500.000000001,81.0,281.0,77.0,208.0
6952750.0,6974500.000000001,48.0,655.0,1132.0,522.0
-8286250.0,5494500.000000001,51.0,503.0,440.0,319.0
-11950250.0,4236500.000000001,76.0,364.0,150.0,161.0
-9514250.0,7027500.000000001,59.0,621.0,659.0,379.0
8337750.0,1594500.000000001,71.0,364.0,146.0,379.0
-12260250.0,3507500.000000001,74.0,316.0,77.0,162.0
2941750.0,-1616499.999999999,60.0,309.0,95.0,66.0
-7433250.0,-581499.9999999991,41.0,391.0,329.0,217.0
1873750.0,2238500.000000001,83.0,304.0,46.0,186.0
-10645250.0,6240500.000000001,64.0,576.0,640.0,547.0
-12427250.0,6017500.000000001,53.0,393.0,215.0,202.0
-10477250.0,7120500.000000001,62.0,607.0,585.0,364.0
9558750.0,6721500.000000001,66.0,619.0,955.0,486.0
1736750.0,1400500.000000001,74.0,351.0,178.0,144.0
8793750.0,3224500.000000001,75.0,352.0,222.0,279.0
-6674250.0,-3725499.999999999,60.0,339.0,369.0,287.0
2670750.0,-3494499.999999999,76.0,366.0,86.0,248.0
14162750.0,-46499.99999999907,52.0,403.0,353.0,186.0
12008750.0,6610500.000000001,52.0,671.0,684.0,492.0
-10719250.0,4367500.000000001,59.0,402.0,289.0,240.0
12433750.0,122500.00000000093,46.0,407.0,459.0,230.0
-6287250.0,-3190499.999999999,51.0,360.0,302.0,208.0
3811750.0,-231499.99999999907,73.0,342.0,180.0,276.0
5784750.0,3930500.000000001,78.0,311.0,126.0,202.0
15947750.0,-459499.99999999907,52.0,376.0,313.0,261.0
12922750.0,674500.0000000009,52.0,446.0,676.0,360.0
-12260250.0,4128500.000000001,70.0,304.0,139.0,128.0
3245750.0,-657499.9999999991,57.0,283.0,138.0,136.0
2307750.0,6860500.000000001,47.0,577.0,877.0,428.0
2278750.0,3275500.000000001,82.0,297.0,64.0,151.0
-8630250.0,-765499.9999999991,55.0,410.0,828.0,276.0
11150750.0,2968500.000000001,56.0,422.0,528.0,227.0
2795750.0,5377500.000000001,54.0,430.0,836.0,343.0
-7093250.0,130500.00000000093,42.0,384.0,397.0,176.0
15740750.0,-3790499.999999999,80.0,364.0,128.0,176.0
-5301250.0,-962499.9999999991,51.0,351.0,193.0,101.0
14618750.0,-141499.99999999907,49.0,376.0,329.0,152.0
-5839250.0,-569499.9999999991,43.0,393.0,285.0,115.0
1227750.0,4014500.000000001,75.0,366.0,196.0,203.0
-7311250.0,-3043499.999999999,72.0,340.0,208.0,162.0
-7194250.0,-1093499.999999999,41.0,380.0,274.0,120.0
-8695250.0,4930500.000000001,49.0,404.0,1062.0,337.0
8393750.0,6310500.000000001,60.0,608.0,858.0,368.0
-14120250.0,7195500.000000001,52.0,444.0,1190.0,609.0
5412750.0,3972500.000000001,76.0,347.0,184.0,192.0
-10578250.0,5728500.000000001,53.0,497.0,482.0,231.0
7049750.0,3866500.000000001,68.0,353.0,511.0,211.0
-7170250.0,304500.00000000093,41.0,428.0,266.0,157.0
-8940250.0,7554500.000000001,61.0,542.0,744.0,408.0
4896750.0,2931500.000000001,79.0,340.0,93.0,187.0
-4628250.0,-715499.9999999991,52.0,334.0,98.0,119.0
10762750.0,1958500.000000001,57.0,344.0,234.0,180.0
-6013250.0,-680499.9999999991,45.0,393.0,278.0,140.0
-7388250.0,1048500.0000000009,58.0,347.0,223.0,183.0
-7538250.0,454500.00000000093,47.0,381.0,352.0,117.0
-307250.0,1073500.000000001,63.0,331.0,120.0,90.0
5067750.0,6427500.000000001,54.0,597.0,1093.0,527.0
-6636250.0,-3512499.999999999,63.0,343.0,233.0,245.0
2744750.0,-1186499.999999999,53.0,348.0,115.0,84.0
15824750.0,-4096499.999999999,68.0,368.0,226.0,244.0
4362750.0,-1249499.999999999,55.0,332.0,122.0,83.0
-4867250.0,-814499.9999999991,56.0,300.0,117.0,118.0
-11571250.0,4227500.000000001,61.0,348.0,521.0,206.0
-6932250.0,-744499.9999999991,39.0,387.0,248.0,154.0
734750.0,4324500.000000001,75.0,381.0,340.0,279.0
6375750.0,3292500.000000001,80.0,303.0,73.0,148.0
5265750.0,6198500.000000001,60.0,622.0,762.0,426.0
15153750.0,-2942499.999999999,77.0,332.0,37.0,236.0
-4688250.0,-1116499.999999999,58.0,338.0,148.0,160.0
11757750.0,1436500.000000001,58.0,419.0,226.0,197.0
4034750.0,-1547499.999999999,59.0,324.0,102.0,107.0
10838750.0,5891500.000000001,50.0,559.0,1137.0,374.0
