latitude,longitude,ph,moisture,nitrogen,cec
7760500.000000001,1050750.0,64.0,523.0,1021.0,400.0
7760500.000000001,4450750.0,62.0,467.0,1263.0,463.0
7760500.000000001,4550750.0,62.0,472.0,1386.0,612.0
7760500.000000001,5950750.0,61.0,571.0,1404.0,427.0
7760500.000000001,6050750.0,62.0,557.0,1231.0,582.0
7760500.000000001,6150750.0,62.0,517.0,1245.0,528.0
7760500.000000001,6250750.0,61.0,560.0,1145.0,489.0
7760500.000000001,6350750.0,61.0,586.0,1497.0,578.0
7760500.000000001,6450750.0,61.0,593.0,1543.0,576.0
7760500.000000001,6550750.0,62.0,558.0,1483.0,692.0
7760500.000000001,6650750.0,64.0,556.0,1241.0,605.0
7760500.000000001,6750750.0,63.0,576.0,1277.0,549.0
7660500.000000001,-12249250.0,70.0,500.0,613.0,294.0
7660500.000000001,-12049250.0,70.0,500.0,705.0,210.0
7660500.000000001,-11949250.0,72.0,502.0,530.0,211.0
7660500.000000001,-11849250.0,75.0,476.0,645.0,217.0
7660500.000000001,-11749250.0,74.0,485.0,517.0,214.0
7660500.000000001,-11449250.0,73.0,487.0,787.0,254.0
7660500.000000001,-11049250.0,73.0,513.0,701.0,289.0
7660500.000000001,-10549250.0,62.0,574.0,565.0,425.0
7660500.000000001,-10449250.0,61.0,581.0,597.0,470.0
7660500.000000001,-10349250.0,64.0,577.0,522.0,430.0
7660500.000000001,-10249250.0,63.0,563.0,485.0,443.0
7660500.000000001,850750.0,62.0,462.0,986.0,406.0
7660500.000000001,4450750.0,60.0,486.0,1273.0,526.0
7660500.000000001,5250750.0,62.0,562.0,1428.0,534.0
7660500.000000001,5750750.0,60.0,534.0,1226.0,409.0
7660500.000000001,5850750.0,61.0,592.0,1296.0,521.0
7660500.000000001,5950750.0,62.0,574.0,1290.0,408.0
7660500.000000001,6050750.0,59.0,604.0,1262.0,421.0
7660500.000000001,6150750.0,59.0,585.0,1309.0,415.0
7660500.000000001,6250750.0,61.0,600.0,1486.0,603.0
7660500.000000001,6350750.0,61.0,594.0,1397.0,612.0
7660500.000000001,6450750.0,60.0,570.0,1330.0,484.0
7660500.000000001,6550750.0,60.0,607.0,1529.0,662.0
7660500.000000001,6650750.0,62.0,609.0,1607.0,596.0
7660500.000000001,6750750.0,61.0,623.0,1583.0,688.0
7660500.000000001,6850750.0,63.0,616.0,1431.0,532.0
7660500.000000001,6950750.0,63.0,617.0,1584.0,657.0
7660500.000000001,7150750.0,62.0,628.0,1488.0,627.0
7660500.000000001,7250750.0,62.0,615.0,1125.0,573.0
7660500.000000001,7350750.0,64.0,568.0,1050.0,540.0
7660500.000000001,7450750.0,64.0,577.0,1006.0,465.0
7660500.000000001,7550750.0,61.0,582.0,970.0,455.0
7660500.000000001,7650750.0,56.0,596.0,695.0,280.0
7660500.000000001,7750750.0,60.0,614.0,906.0,467.0
7660500.000000001,7850750.0,59.0,610.0,860.0,352.0
7560500.000000001,-14949250.0,66.0,473.0,1149.0,493.0
7560500.000000001,-12249250.0,65.0,538.0,529.0,334.0
7560500.000000001,-12149250.0,65.0,479.0,602.0,279.0
7560500.000000001,-11949250.0,66.0,493.0,452.0,217.0
7560500.000000001,-11849250.0,66.0,507.0,519.0,263.0
7560500.000000001,-11749250.0,64.0,503.0,570.0,263.0
7560500.000000001,-11649250.0,73.0,503.0,718.0,272.0
7560500.000000001,-11349250.0,73.0,511.0,696.0,239.0
7560500.000000001,-11049250.0,73.0,519.0,756.0,290.0
7560500.000000001,-10849250.0,67.0,510.0,518.0,354.0
7560500.000000001,-10549250.0,65.0,549.0,516.0,376.0
7560500.000000001,-10449250.0,65.0,561.0,467.0,414.0
7560500.000000001,-10349250.0,64.0,588.0,522.0,482.0
7560500.000000001,-10249250.0,64.0,590.0,516.0,522.0
7560500.000000001,-10149250.0,61.0,580.0,521.0,506.0
7560500.000000001,-10049250.0,63.0,591.0,524.0,416.0
7560500.000000001,-9949250.0,62.0,568.0,557.0,416.0
7560500.000000001,-8949250.0,62.0,548.0,736.0,382.0
7560500.000000001,550750.0,57.0,469.0,852.0,394.0
7560500.000000001,650750.0,58.0,469.0,758.0,317.0
7560500.000000001,750750.0,62.0,452.0,1160.0,434.0
7560500.000000001,4450750.0,62.0,551.0,1501.0,400.0
7560500.000000001,4550750.0,62.0,510.0,1505.0,444.0
7560500.000000001,5250750.0,59.0,616.0,1522.0,646.0
7560500.000000001,5350750.0,58.0,599.0,1422.0,638.0
7560500.000000001,5450750.0,59.0,607.0,1440.0,575.0
7560500.000000001,5650750.0,57.0,597.0,1417.0,539.0
7560500.000000001,5750750.0,58.0,600.0,1419.0,590.0
7560500.000000001,5850750.0,57.0,618.0,1482.0,578.0
7560500.000000001,5950750.0,59.0,633.0,1355.0,456.0
7560500.000000001,6050750.0,60.0,635.0,1463.0,438.0
7560500.000000001,6150750.0,59.0,630.0,1455.0,462.0
7560500.000000001,6250750.0,59.0,613.0,1345.0,591.0
7560500.000000001,6350750.0,59.0,614.0,1573.0,622.0
7560500.000000001,6450750.0,58.0,646.0,1418.0,692.0
7560500.000000001,6550750.0,59.0,615.0,1294.0,648.0
7560500.000000001,6750750.0,62.0,624.0,1316.0,663.0
7560500.000000001,6850750.0,60.0,604.0,1179.0,623.0
7560500.000000001,6950750.0,62.0,597.0,1208.0,608.0
7560500.000000001,7050750.0,60.0,598.0,1306.0,611.0
7560500.000000001,7150750.0,59.0,605.0,1237.0,507.0
7560500.000000001,7250750.0,60.0,615.0,738.0,535.0
7560500.000000001,7350750.0,60.0,593.0,693.0,496.0
7560500.000000001,7450750.0,61.0,606.0,844.0,494.0
7560500.000000001,7550750.0,62.0,587.0,892.0,486.0
7560500.000000001,7650750.0,61.0,592.0,862.0,511.0
7560500.000000001,7750750.0,60.0,607.0,899.0,575.0
7560500.000000001,7850750.0,59.0,600.0,540.0,340.0
7560500.000000001,7950750.0,59.0,608.0,719.0,508.0
7560500.000000001,8050750.0,57.0,607.0,783.0,445.0
7560500.000000001,8450750.0,65.0,602.0,991.0,321.0
7560500.000000001,8750750.0,58.0,558.0,848.0,384.0
7560500.000000001,8850750.0,60.0,550.0,786.0,349.0
7560500.000000001,8950750.0,60.0,524.0,738.0,346.0
7560500.000000001,9050750.0,60.0,550.0,704.0,363.0
7560500.000000001,9150750.0,62.0,499.0,738.0,286.0
7460500.000000001,-14249250.0,65.0,452.0,1202.0,665.0
7460500.000000001,-14049250.0,60.0,476.0,1056.0,648.0
7460500.000000001,-13949250.0,57.0,477.0,1146.0,646.0
7460500.000000001,-13749250.0,59.0,485.0,1262.0,575.0
7460500.000000001,-13649250.0,67.0,470.0,1212.0,661.0
7460500.000000001,-11849250.0,70.0,501.0,511.0,368.0
7460500.000000001,-11649250.0,74.0,524.0,642.0,311.0
7460500.000000001,-11549250.0,71.0,506.0,741.0,288.0
7460500.000000001,-11349250.0,72.0,503.0,704.0,339.0
7460500.000000001,-11249250.0,72.0,529.0,753.0,361.0
7460500.000000001,-10949250.0,71.0,512.0,576.0,468.0
7460500.000000001,-10849250.0,70.0,506.0,521.0,308.0
7460500.000000001,-10749250.0,64.0,584.0,493.0,452.0
7460500.000000001,-10449250.0,64.0,579.0,513.0,380.0
7460500.000000001,-10349250.0,65.0,591.0,445.0,493.0
7460500.000000001,-10249250.0,64.0,597.0,468.0,523.0
7460500.000000001,-10149250.0,65.0,591.0,504.0,497.0
7460500.000000001,-9949250.0,59.0,585.0,542.0,505.0
7460500.000000001,-9649250.0,61.0,544.0,624.0,378.0
7460500.000000001,-8749250.0,56.0,602.0,782.0,454.0
7460500.000000001,-8649250.0,61.0,458.0,1030.0,485.0
7460500.000000001,450750.0,58.0,471.0,863.0,291.0
7460500.000000001,2950750.0,56.0,464.0,1028.0,324.0
7460500.000000001,3050750.0,57.0,471.0,919.0,295.0
7460500.000000001,3150750.0,55.0,481.0,927.0,297.0
7460500.000000001,3250750.0,53.0,572.0,1185.0,303.0
7460500.000000001,3350750.0,57.0,540.0,963.0,290.0
7460500.000000001,5250750.0,58.0,596.0,1525.0,621.0
7460500.000000001,5350750.0,55.0,620.0,1551.0,663.0
7460500.000000001,5650750.0,56.0,611.0,1401.0,561.0
7460500.000000001,5750750.0,56.0,608.0,1353.0,532.0
7460500.000000001,5850750.0,57.0,630.0,1361.0,640.0
7460500.000000001,5950750.0,56.0,643.0,1247.0,566.0
7460500.000000001,6050750.0,58.0,610.0,1273.0,534.0
7460500.000000001,6150750.0,58.0,651.0,1515.0,564.0
7460500.000000001,6250750.0,57.0,636.0,1339.0,599.0
7460500.000000001,6350750.0,58.0,623.0,1338.0,588.0
7460500.000000001,6450750.0,55.0,608.0,1143.0,529.0
7460500.000000001,6550750.0,54.0,590.0,1105.0,546.0
7460500.000000001,6650750.0,53.0,614.0,1085.0,491.0
7460500.000000001,6750750.0,56.0,619.0,1128.0,484.0
7460500.000000001,6850750.0,56.0,594.0,1053.0,502.0
7460500.000000001,6950750.0,60.0,590.0,1211.0,538.0
7460500.000000001,7050750.0,57.0,615.0,1075.0,618.0
7460500.000000001,7150750.0,58.0,602.0,1201.0,536.0
7460500.000000001,7250750.0,58.0,621.0,963.0,607.0
7460500.000000001,7350750.0,58.0,633.0,733.0,411.0
7460500.000000001,7450750.0,55.0,643.0,760.0,488.0
7460500.000000001,7550750.0,57.0,639.0,830.0,520.0
7460500.000000001,7650750.0,58.0,623.0,822.0,591.0
7460500.000000001,7750750.0,56.0,621.0,722.0,558.0
7460500.000000001,7850750.0,55.0,612.0,634.0,601.0
7460500.000000001,7950750.0,64.0,643.0,694.0,560.0
7460500.000000001,8050750.0,59.0,643.0,711.0,584.0
7460500.000000001,8150750.0,56.0,633.0,732.0,518.0
7460500.000000001,8250750.0,53.0,640.0,792.0,548.0
7460500.000000001,8350750.0,54.0,574.0,674.0,446.0
7460500.000000001,8450750.0,55.0,646.0,638.0,458.0
7460500.000000001,8550750.0,58.0,577.0,812.0,529.0
7460500.000000001,8650750.0,55.0,619.0,718.0,381.0
7460500.000000001,8750750.0,58.0,623.0,927.0,478.0
7460500.000000001,8850750.0,57.0,626.0,1027.0,399.0
7460500.000000001,8950750.0,57.0,594.0,1094.0,483.0
7460500.000000001,9050750.0,58.0,569.0,1077.0,489.0
7460500.000000001,9150750.0,55.0,546.0,798.0,459.0
7460500.000000001,9250750.0,59.0,552.0,797.0,466.0
7460500.000000001,9350750.0,56.0,586.0,494.0,353.0
7460500.000000001,9450750.0,57.0,513.0,517.0,337.0
7460500.000000001,9550750.0,57.0,492.0,589.0,363.0
7460500.000000001,9650750.0,60.0,509.0,715.0,426.0
7460500.000000001,9750750.0,62.0,512.0,852.0,458.0
7460500.000000001,9850750.0,64.0,516.0,830.0,514.0
7360500.000000001,-14449250.0,60.0,447.0,1374.0,685.0
7360500.000000001,-14349250.0,54.0,441.0,1359.0,659.0
7360500.000000001,-14249250.0,58.0,455.0,1408.0,704.0
7360500.000000001,-14149250.0,57.0,454.0,1366.0,731.0
7360500.000000001,-14049250.0,57.0,461.0,1251.0,666.0
7360500.000000001,-13949250.0,58.0,452.0,1276.0,737.0
7360500.000000001,-13849250.0,56.0,441.0,1273.0,733.0
7360500.000000001,-13749250.0,54.0,438.0,1264.0,714.0
7360500.000000001,-13649250.0,60.0,431.0,1345.0,696.0
7360500.000000001,-13549250.0,59.0,442.0,826.0,513.0
7360500.000000001,-13449250.0,63.0,445.0,1034.0,663.0
7360500.000000001,-13349250.0,60.0,442.0,930.0,517.0
7360500.000000001,-13249250.0,61.0,484.0,799.0,508.0
7360500.000000001,-13149250.0,57.0,565.0,1043.0,488.0
7360500.000000001,-12949250.0,55.0,630.0,532.0,415.0
7360500.000000001,-12749250.0,58.0,573.0,609.0,472.0
7360500.000000001,-12649250.0,56.0,558.0,480.0,458.0
7360500.000000001,-12549250.0,59.0,562.0,447.0,471.0
7360500.000000001,-12449250.0,60.0,551.0,543.0,565.0
7360500.000000001,-12349250.0,60.0,596.0,504.0,432.0
7360500.000000001,-12249250.0,59.0,546.0,526.0,437.0
7360500.000000001,-12149250.0,61.0,539.0,520.0,346.0
7360500.000000001,-11749250.0,67.0,511.0,533.0,362.0
7360500.000000001,-11649250.0,69.0,519.0,587.0,285.0
7360500.000000001,-11549250.0,69.0,509.0,475.0,285.0
7360500.000000001,-11249250.0,70.0,514.0,710.0,335.0
7360500.000000001,-10949250.0,71.0,526.0,664.0,377.0
7360500.000000001,-10649250.0,63.0,602.0,557.0,488.0
7360500.000000001,-10549250.0,66.0,586.0,678.0,488.0
7360500.000000001,-10349250.0,65.0,542.0,487.0,408.0
7360500.000000001,-10249250.0,65.0,560.0,550.0,433.0
7360500.000000001,-9849250.0,60.0,571.0,482.0,421.0
7360500.000000001,-9749250.0,59.0,615.0,503.0,594.0
7360500.000000001,-9649250.0,58.0,585.0,552.0,529.0
7360500.000000001,-8549250.0,62.0,578.0,817.0,477.0
7360500.000000001,250750.0,59.0,491.0,883.0,313.0
7360500.000000001,350750.0,59.0,429.0,830.0,232.0
7360500.000000001,2650750.0,52.0,507.0,929.0,316.0
7360500.000000001,2750750.0,52.0,489.0,761.0,269.0
7360500.000000001,2850750.0,55.0,440.0,980.0,399.0
7360500.000000001,2950750.0,51.0,544.0,1021.0,454.0
7360500.000000001,3050750.0,51.0,547.0,937.0,502.0
7360500.000000001,3150750.0,52.0,605.0,1063.0,462.0
7360500.000000001,3350750.0,48.0,625.0,1092.0,507.0
7360500.000000001,3550750.0,50.0,607.0,961.0,356.0
7360500.000000001,3650750.0,51.0,553.0,1093.0,357.0
7360500.000000001,4350750.0,60.0,574.0,1246.0,524.0
7360500.000000001,5050750.0,57.0,599.0,1942.0,455.0
7360500.000000001,5350750.0,55.0,598.0,1653.0,690.0
7360500.000000001,5450750.0,56.0,658.0,1476.0,680.0
7360500.000000001,5550750.0,57.0,633.0,1489.0,634.0
7360500.000000001,5850750.0,55.0,663.0,1199.0,529.0
7360500.000000001,5950750.0,56.0,653.0,1330.0,568.0
7360500.000000001,6050750.0,55.0,673.0,1399.0,551.0
7360500.000000001,6150750.0,53.0,682.0,1393.0,592.0
7360500.000000001,6250750.0,52.0,674.0,1306.0,549.0
7360500.000000001,6350750.0,54.0,637.0,1266.0,553.0
7360500.000000001,6450750.0,53.0,605.0,1288.0,556.0
7360500.000000001,6550750.0,53.0,544.0,1120.0,524.0
7360500.000000001,6650750.0,53.0,557.0,1060.0,464.0
7360500.000000001,6750750.0,53.0,485.0,1027.0,479.0
7360500.000000001,6850750.0,52.0,598.0,958.0,432.0
7360500.000000001,6950750.0,54.0,636.0,1045.0,524.0
7360500.000000001,7050750.0,56.0,620.0,976.0,550.0
7360500.000000001,7150750.0,59.0,636.0,1021.0,406.0
7360500.000000001,7250750.0,56.0,617.0,726.0,366.0
7360500.000000001,7350750.0,57.0,620.0,658.0,374.0
7360500.000000001,7450750.0,54.0,663.0,661.0,426.0
7360500.000000001,7550750.0,55.0,647.0,593.0,404.0
7360500.000000001,7650750.0,55.0,642.0,659.0,525.0
7360500.000000001,7750750.0,55.0,646.0,699.0,537.0
7360500.000000001,7850750.0,57.0,640.0,902.0,565.0
7360500.000000001,8050750.0,56.0,643.0,846.0,637.0
7360500.000000001,8150750.0,54.0,650.0,805.0,671.0
7360500.000000001,8350750.0,56.0,645.0,806.0,504.0
7360500.000000001,8450750.0,53.0,568.0,710.0,336.0
7360500.000000001,8550750.0,52.0,639.0,595.0,343.0
7360500.000000001,8650750.0,54.0,635.0,803.0,406.0
7360500.000000001,8750750.0,56.0,582.0,1060.0,586.0
7360500.000000001,8850750.0,53.0,631.0,862.0,390.0
7360500.000000001,8950750.0,55.0,629.0,1026.0,471.0
7360500.000000001,9050750.0,54.0,610.0,724.0,282.0
7360500.000000001,9150750.0,53.0,630.0,1281.0,525.0
7360500.000000001,9250750.0,56.0,594.0,1009.0,521.0
7360500.000000001,9350750.0,57.0,570.0,875.0,674.0
7360500.000000001,9450750.0,58.0,584.0,857.0,565.0
7360500.000000001,9850750.0,61.0,528.0,817.0,517.0
7360500.000000001,9950750.0,59.0,516.0,798.0,589.0
7360500.000000001,10050750.0,60.0,500.0,737.0,507.0
7360500.000000001,10250750.0,57.0,505.0,790.0,430.0
7360500.000000001,10350750.0,58.0,544.0,662.0,401.0
7360500.000000001,10450750.0,56.0,524.0,658.0,435.0
7360500.000000001,10550750.0,58.0,500.0,614.0,517.0
7360500.000000001,10750750.0,58.0,509.0,718.0,516.0
7360500.000000001,10850750.0,62.0,536.0,676.0,454.0
7360500.000000001,10950750.0,57.0,531.0,643.0,469.0
7360500.000000001,11050750.0,62.0,517.0,676.0,456.0
7360500.000000001,11150750.0,62.0,525.0,834.0,454.0
7260500.000000001,-15449250.0,59.0,465.0,996.0,582.0
7260500.000000001,-15349250.0,57.0,451.0,1143.0,674.0
7260500.000000001,-14549250.0,55.0,438.0,1269.0,599.0
7260500.000000001,-14449250.0,62.0,467.0,1226.0,597.0
7260500.000000001,-14349250.0,55.0,437.0,1323.0,651.0
7260500.000000001,-14249250.0,55.0,443.0,1318.0,654.0
7260500.000000001,-14149250.0,59.0,458.0,1387.0,744.0
7260500.000000001,-14049250.0,58.0,446.0,889.0,489.0
7260500.000000001,-13949250.0,54.0,449.0,1072.0,615.0
7260500.000000001,-13849250.0,53.0,445.0,874.0,448.0
7260500.000000001,-13749250.0,55.0,443.0,1104.0,728.0
7260500.000000001,-13649250.0,62.0,437.0,1016.0,642.0
7260500.000000001,-13549250.0,60.0,438.0,805.0,538.0
7260500.000000001,-13449250.0,61.0,468.0,831.0,513.0
7260500.000000001,-13349250.0,59.0,494.0,708.0,509.0
7260500.000000001,-13249250.0,58.0,572.0,951.0,423.0
7260500.000000001,-13149250.0,55.0,555.0,685.0,419.0
7260500.000000001,-13049250.0,55.0,606.0,466.0,329.0
7260500.000000001,-12949250.0,53.0,648.0,415.0,370.0
7260500.000000001,-12849250.0,57.0,577.0,353.0,447.0
7260500.000000001,-12749250.0,55.0,573.0,410.0,489.0
7260500.000000001,-12649250.0,58.0,570.0,325.0,518.0
7260500.000000001,-12549250.0,57.0,564.0,382.0,663.0
7260500.000000001,-12449250.0,57.0,581.0,290.0,583.0
7260500.000000001,-12349250.0,61.0,547.0,426.0,507.0
7260500.000000001,-12249250.0,61.0,573.0,464.0,495.0
7260500.000000001,-12149250.0,61.0,609.0,478.0,492.0
7260500.000000001,-12049250.0,57.0,560.0,531.0,591.0
7260500.000000001,-11849250.0,67.0,535.0,517.0,491.0
7260500.000000001,-11449250.0,68.0,525.0,497.0,424.0
7260500.000000001,-11049250.0,69.0,537.0,720.0,354.0
7260500.000000001,-10949250.0,68.0,527.0,711.0,380.0
7260500.000000001,-10849250.0,68.0,524.0,571.0,575.0
7260500.000000001,-10749250.0,61.0,609.0,443.0,496.0
7260500.000000001,-10649250.0,59.0,611.0,525.0,513.0
7260500.000000001,-10549250.0,60.0,597.0,610.0,441.0
7260500.000000001,-10249250.0,63.0,587.0,471.0,470.0
7260500.000000001,-9749250.0,62.0,574.0,670.0,473.0
7260500.000000001,-9649250.0,61.0,592.0,541.0,505.0
7260500.000000001,-9449250.0,60.0,600.0,610.0,426.0
7260500.000000001,-9349250.0,58.0,509.0,755.0,328.0
7260500.000000001,-9249250.0,62.0,562.0,716.0,391.0
7260500.000000001,-8549250.0,57.0,618.0,901.0,452.0
7260500.000000001,-8449250.0,60.0,593.0,737.0,492.0
7260500.000000001,-49250.0,60.0,526.0,940.0,364.0
7260500.000000001,2650750.0,58.0,449.0,750.0,329.0
7260500.000000001,2750750.0,54.0,475.0,942.0,479.0
7260500.000000001,2850750.0,47.0,563.0,775.0,450.0
7260500.000000001,2950750.0,47.0,602.0,937.0,500.0
7260500.000000001,3050750.0,48.0,642.0,985.0,482.0
7260500.000000001,3150750.0,47.0,611.0,967.0,430.0
7260500.000000001,3250750.0,46.0,599.0,915.0,415.0
7260500.000000001,3350750.0,48.0,619.0,990.0,469.0
7260500.000000001,3450750.0,54.0,575.0,928.0,397.0
7260500.000000001,3650750.0,47.0,619.0,1092.0,420.0
7260500.000000001,3750750.0,51.0,597.0,1250.0,376.0
7260500.000000001,3850750.0,55.0,575.0,1299.0,425.0
7260500.000000001,4150750.0,50.0,655.0,1311.0,512.0
7260500.000000001,4450750.0,47.0,647.0,1268.0,601.0
7260500.000000001,4550750.0,46.0,676.0,1489.0,702.0
7260500.000000001,4650750.0,48.0,665.0,1756.0,660.0
7260500.000000001,4750750.0,49.0,643.0,2002.0,612.0
7260500.000000001,4850750.0,50.0,645.0,1654.0,665.0
7260500.000000001,4950750.0,51.0,651.0,1698.0,533.0
7260500.000000001,5050750.0,49.0,640.0,1407.0,609.0
7260500.000000001,5150750.0,50.0,637.0,1434.0,458.0
7260500.000000001,5250750.0,49.0,596.0,1373.0,542.0
7260500.000000001,5350750.0,53.0,633.0,1266.0,649.0
7260500.000000001,5450750.0,52.0,681.0,1513.0,609.0
7260500.000000001,5550750.0,55.0,656.0,1474.0,660.0
7260500.000000001,5650750.0,55.0,665.0,1362.0,697.0
7260500.000000001,5850750.0,53.0,670.0,1375.0,490.0
7260500.000000001,5950750.0,54.0,666.0,1233.0,577.0
7260500.000000001,6050750.0,51.0,685.0,1410.0,546.0
7260500.000000001,6150750.0,53.0,666.0,1350.0,473.0
7260500.000000001,6250750.0,53.0,671.0,1468.0,518.0
7260500.000000001,6350750.0,51.0,656.0,1461.0,567.0
7260500.000000001,6550750.0,50.0,651.0,1453.0,586.0
7260500.000000001,6650750.0,52.0,636.0,1244.0,481.0
7260500.000000001,6750750.0,51.0,574.0,1103.0,406.0
7260500.000000001,6850750.0,51.0,576.0,1119.0,477.0
7260500.000000001,6950750.0,52.0,627.0,980.0,418.0
7260500.000000001,7050750.0,53.0,637.0,880.0,435.0
7260500.000000001,7150750.0,55.0,632.0,763.0,410.0
7260500.000000001,7350750.0,58.0,623.0,828.0,427.0
7260500.000000001,7450750.0,55.0,629.0,713.0,404.0
7260500.000000001,7550750.0,54.0,641.0,791.0,507.0
7260500.000000001,7650750.0,54.0,648.0,680.0,376.0
7260500.000000001,7750750.0,54.0,655.0,805.0,539.0
7260500.000000001,7850750.0,54.0,650.0,847.0,525.0
7260500.000000001,7950750.0,57.0,636.0,858.0,530.0
7260500.000000001,8050750.0,54.0,646.0,762.0,594.0
7260500.000000001,8150750.0,55.0,663.0,861.0,654.0
7260500.000000001,8250750.0,55.0,657.0,821.0,683.0
7260500.000000001,8350750.0,56.0,662.0,1047.0,519.0
7260500.000000001,8450750.0,52.0,654.0,694.0,546.0
7260500.000000001,8550750.0,53.0,622.0,777.0,529.0
7260500.000000001,8650750.0,52.0,578.0,733.0,414.0
7260500.000000001,8750750.0,53.0,667.0,732.0,441.0
7260500.000000001,8850750.0,52.0,647.0,1139.0,532.0
7260500.000000001,8950750.0,55.0,596.0,1130.0,606.0
7260500.000000001,9050750.0,52.0,635.0,938.0,496.0
7260500.000000001,9150750.0,53.0,614.0,570.0,299.0
7260500.000000001,9250750.0,55.0,646.0,1384.0,542.0
7260500.000000001,9350750.0,57.0,631.0,1271.0,610.0
7260500.000000001,9450750.0,57.0,595.0,1121.0,606.0
7260500.000000001,9550750.0,57.0,592.0,1151.0,628.0
7260500.000000001,9650750.0,56.0,602.0,1073.0,523.0
7260500.000000001,9750750.0,55.0,605.0,906.0,566.0
7260500.000000001,9850750.0,56.0,574.0,822.0,593.0
7260500.000000001,10050750.0,60.0,583.0,836.0,619.0
7260500.000000001,10150750.0,60.0,555.0,882.0,568.0
7260500.000000001,10250750.0,60.0,567.0,793.0,530.0
7260500.000000001,10350750.0,58.0,536.0,588.0,388.0
7260500.000000001,10450750.0,58.0,513.0,965.0,487.0
7260500.000000001,10550750.0,60.0,519.0,719.0,506.0
